id,stage_name,full_name,date_of_birth,birthplace,group_id,country_id,gender,weight,height
52126,Wilazy,Crazy Wilbur,1997-8-29,Monrovia,11404,98,M,57,173
52127,Theless,Priceless Tharp,2002-10-23,Melekeok,48619,133,F,44,159
52128,Maxing,Loving Maxwell,2001-3-26,Beirut,66141,96,F,46,158
52129,Lulby,Kilby Lucid,1999-12-21,Basseterre,5539,146,F,53,165
52130,Sandsy,Busy Sanderson,1996-9-13,San Jose,19958,41,F,55,159
52131,Buton,Busy Newton,1995-6-20,Accra,24745,66,F,51,170
52132,Volsionate,Compassionate Volhard,2007-8-5,Quito,59874,52,M,62,177
52133,Archiave,Archimedes Brave,2000-11-8,Addis Ababa,19959,58,F,41,158
52134,Dicending,Dirac Condescending,2007-9-1,Melekeok,54863,133,F,42,161
52135,Spersing,Recursing Spence,1998-2-19,Praia,55123,32,F,54,159
52136,Comparen,Competent Mclaren,2003-5-15,Pyongyang,32682,90,M,62,181
52137,Pedayne,Pedantic Payne,2001-9-8,Bangui,20879,33,F,52,159
52138,Menange,Strange Mendel,2002-5-5,Funafuti province,71460,182,M,65,171
52139,Blfying,Black Mystifying,2005-3-26,Islamabad,61249,132,F,44,168
52140,Mclring,Adoring Mclaren,2004-11-13,Bridgetown,68998,15,M,56,182
52141,Loveofy,Goofy Lovelace,2007-2-29,Wellington,61639,126,M,64,183
52142,Aryaen,Aryabhata Zen,2008-1-19,Zagreb,67822,43,F,50,168
52143,Kemedes,Keen Archimedes,2003-1-21,Andorra la Vella,50981,4,M,56,171
52144,Kedock,Murdock Keen,1999-11-24,Ankara,100247,180,M,64,177
52145,Naunnon,Shannon Naughty,1998-1-21,Baghdad,13717,80,F,46,160
52146,Thirtz,Hertz Thirsty,2008-9-1,Taipei,20896,172,F,51,164
52147,Dewvous,Nervous Dewdney,2005-5-18,Oslo,18115,130,F,47,168
52148,Gooaxed,Relaxed Goodall,2003-1-29,San Marino,86577,150,M,57,185
52149,Pricghelli,Priceless Ardinghelli,2005-9-14,Sarajevo,62623,22,M,62,180
52150,Shtochial,Shtern Xenodochial,2006-1-9,Bogota,56935,37,F,47,156
52151,Niaw,Shaw Nice,2000-4-4,La Paz,49204,21,F,47,164
52152,Maxatic,Maxwell Ecstatic,1995-10-16,Brussels,37335,17,F,52,160
52153,Hamitive,Festive Hamilton,2008-9-3,Sri Jayewardenepura Kotte,49482,165,M,60,175
52154,Eloqstine,Eloquent Goldstine,2002-5-20,Kathmandu,92001,124,F,54,162
52155,Pirky,Quirky Pike,2008-10-25,Seoul,91051,91,F,53,160
52156,Fuelet,Funny Chatelet,2003-1-25,Monrovia,24481,98,F,52,167
52157,Friesen,Friendly Jepsen,1996-12-3,Lisbon,91417,141,F,50,155
52158,Jonson,Swanson Jolly,2000-7-25,Skopje,32293,103,F,51,155
52159,Heeet,Hertz Sweet,1999-12-1,Doha,28883,142,F,45,168
52160,Stupre,Stupefied Pare,2007-4-28,Tunis,72680,179,F,49,161
52161,Galsionate,Galileo Compassionate,2005-11-23,Havana,23339,44,M,61,181
52162,Tereserful,Wonderful Tereshkova,2008-8-14,Bogota,63527,37,F,48,159
52163,Kanny,Funny Kare,2003-6-14,Ottawa,84865,31,F,55,168
52164,Flambcare,Poincare Flamboyant,1996-8-20,Conakry,86022,70,M,65,182
52165,Suspiaw,Shaw Suspicious,2000-3-15,Warsaw,28009,140,M,61,184
52166,Brrg,Brave Borg,2007-5-8,Djibouti,92340,48,F,53,159
52167,Greated,Agitated Greider,1998-9-18,Saint John’s,16586,6,F,53,162
52168,Goldted,Gifted Goldstine,1999-4-7,Kuwait City,16734,92,F,54,166
52169,Affectler,Affectionate Kepler,2006-6-4,Algiers,99892,3,F,51,158
52170,Admide,Admiring Ride,2002-4-2,Baku,83931,11,F,44,162
52171,Siider,Greider Silly,2003-1-25,Algiers,78332,3,M,62,185
52172,Lichtazy,Lichterman Crazy,1996-10-21,Buenos Aires,47256,7,F,48,164
52173,Bokhani,Bold Mirzakhani,1997-6-18,Nur Sultan,18050,87,F,45,166
52174,Grotheial,Jovial Grothendieck,2002-3-4,Khartoum,59662,166,M,58,172
52175,Kaerful,Kare Wonderful,2005-7-17,Paris,70762,61,M,59,177
52176,Teresligent,Intelligent Tereshkova,2003-10-1,Jerusalem,29200,82,F,50,159
52177,Elgstic,Elgamal Elastic,2008-2-27,Hanoi,97231,193,F,48,167
52178,Vibder,Snyder Vibrant,2007-9-18,Thimphu,30918,20,F,41,165
52179,Couth,Knuth Cool,1998-1-4,Nairobi,17083,88,F,52,161
52180,Reveberg,Reverent Goldberg,2002-12-26,Ulaanbaatar,2303,117,M,63,173
52181,Exciamson,Exciting Williamson,1999-7-29,Islamabad,21137,132,F,50,160
52182,Musnson,Johnson Musing,1998-7-25,Dakar,17758,153,M,58,173
52183,Feslby,Festive Kilby,2007-1-20,Libreville,17486,62,M,61,173
52184,Blacvous,Nervous Blackburn,1996-4-2,Bucharest,10884,143,M,62,185
52185,Aryatiful,Aryabhata Beautiful,2007-8-15,Kuwait City,88318,92,F,55,164
52186,Admitain,Admiring Brattain,2008-10-17,Bangui,71058,33,F,44,164
52187,Tgant,Elegant Tu,2002-9-11,Vatican City,44037,191,F,43,168
52188,Mclring,Admiring Mclaren,2004-3-15,Yaren District,89740,123,F,47,156
52189,Kowalen,Keen Kowalevski,1996-2-16,Khartoum,42524,166,F,51,155
52190,Shoth,Booth Sharp,2001-4-26,Moroni,92310,38,M,62,174
52191,Caren,Zen Carson,2005-9-8,Rabat,33432,119,F,48,166
52192,Kepated,Agitated Kepler,2005-8-4,Riyadh,68292,152,F,48,166
52193,Hopcoff,Wescoff Hopeful,2007-1-9,Lilongwe,37853,105,M,65,179
52194,Farming,Faraday Charming,2003-8-28,Berlin,43810,65,M,55,172
52195,Niasser,Nice Goldwasser,1997-8-1,Skopje,56892,103,M,55,172
52196,Gifyne,Payne Gifted,2005-12-24,Havana,850,44,M,62,180
52197,Sfie,Sad Diffie,2006-9-27,New Delhi,44393,77,M,59,183
52198,Wondnnon,Wonderful Shannon,1995-4-24,Mogadishu,94604,161,F,40,160
52199,Zhukic,Zhukovsky Epic,2000-7-11,Belmopan,15529,18,M,56,170
52200,Reveght,Wright Reverent,2007-9-13,Rome,8479,83,F,45,162
52201,Albazical,Albattani Quizzical,2002-3-4,Accra,85823,66,M,60,176
52202,Antosty,Frosty Antonelli,2007-1-6,Port Louis,41372,112,F,52,168
52203,Blislind,Rosalind Blissful,2008-5-25,Bangui,98115,33,M,58,175
52204,Poizing,Poitras Amazing,2003-10-17,Rabat,27761,119,M,59,176
52205,Jacntic,Jackson Pedantic,2008-2-26,Kabul,3532,1,F,40,163
52206,Bover,Clever Boyd,1999-11-27,Apia,49827,149,F,42,160
52207,Luchie,Ritchie Lucid,1997-5-2,Kuala Lumpur,86820,106,M,55,170
52208,Stupder,Snyder Stupefied,2004-9-15,Asmara,60357,56,F,54,164
52209,Chatthing,Chatterjee Laughing,2002-8-20,Manama,20349,13,F,47,156
52210,Fesrtz,Hertz Festive,2008-6-10,Bucharest,77183,143,F,51,166
52211,Varahatiful,Varahamihira Beautiful,2005-7-21,Quito,46133,52,M,62,173
52212,Hassy,Haslett Busy,1997-10-4,Jakarta,75931,78,F,40,155
52213,Easing,Boring Easley,2003-7-2,Melekeok,15283,133,M,63,177
52214,Aweinci,Davinci Awesome,2001-2-15,Bangkok,59097,175,F,54,166
52215,Boming,Charming Bose,1995-9-2,Rome,55308,83,M,65,170
52216,Feitive,Feistel Festive,2000-7-17,Harare,50456,40,F,55,167
52217,Braren,Brave Mclaren,2001-7-10,Moscow,82455,144,F,48,161
52218,Infalsh,Nash Infallible,1995-3-28,Paris,80614,61,F,42,162
52219,Chattamy,Chatterjee Dreamy,1996-12-11,Yaren District,6285,123,F,55,170
52220,Goldwused,Goldwasser Focused,2000-1-29,Palikir,54962,114,M,61,175
52221,Maxstic,Elastic Maxwell,1995-3-12,Wellington,50572,126,M,64,173
52222,Kastic,Elastic Kare,2001-10-14,Abu Dhabi,61338,185,M,65,183
52223,Sasser,Goldwasser Sad,1999-12-23,Luanda,93855,5,F,47,169
52224,Crmedes,Crazy Archimedes,2006-12-27,Berlin,47095,65,M,58,177
52225,Ferri,Fervent Cori,2002-3-19,Bogota,55586,37,M,56,180
52226,Noring,Admiring Nobel,1995-12-5,Baku,41796,11,F,41,170
52227,Bratiring,Brattain Inspiring,1997-8-2,Minsk,2369,16,F,40,159
52228,Varahaave,Brave Varahamihira,1997-5-28,Harare,84946,40,M,56,184
52229,Upbtein,Einstein Upbeat,1996-3-5,Palikir,86281,114,F,54,168
52230,Robiident,Confident Robinson,1996-11-4,Sri Jayewardenepura Kotte,76532,165,M,58,182
52231,Sutheefied,Sutherland Stupefied,2006-4-7,Jakarta,8388,78,M,63,177
52232,Gagrdly,Gagarin Wizardly,2008-2-19,Bucharest,10993,143,M,60,180
52233,Teresofy,Tereshkova Goofy,1997-6-19,Paramaribo,67225,167,M,63,175
52234,Suspiman,Raman Suspicious,2004-2-17,Panama City,59964,135,F,45,165
52235,Hunaren,Hungry Mclaren,2005-3-26,Rabat,30181,119,M,63,171
52236,Ganghty,Ganguly Naughty,2003-6-14,Brussels,66907,17,M,55,181
52237,Boughty,Bouman Naughty,2003-8-3,Malabo,27181,55,M,56,175
52238,Intellby,Intelligent Kilby,2006-10-19,Minsk,83554,16,F,45,169
52239,Taurent,Taussig Reverent,2001-2-7,Maseru,4924,97,F,47,157
52240,Heurlbart,Heuristic Engelbart,2008-12-11,Budapest,66748,75,F,50,156
52241,Kentock,Mcclintock Keen,2006-1-8,Kingstown ,72396,148,M,65,171
52242,Seralds,Serene Torvalds,2006-2-6,Madrid,47914,164,F,46,169
52243,Wilghty,Wilbur Naughty,1997-9-1,Nuku’alofa,27014,177,M,63,178
52244,Vaurky,Quirky Vaughan,1998-1-2,Tunis,54544,179,F,50,163
52245,Chariere,Charming Lumiere,2002-1-23,Tokyo,56233,85,F,45,167
52246,Zagupta,Brahmagupta Zen,1999-2-1,Mbabane,47022,168,M,56,185
52247,Bolant,Vigilant Bohr,1999-8-11,Phnom Penh,24868,29,F,43,162
52248,Hervent,Hermann Fervent,1997-5-13,Doha,94320,142,M,58,184
52249,Tenbha,Bhabha Tender,2006-6-13,San Marino,63279,150,M,57,181
52250,Perntic,Perlman Pedantic,2003-7-9,Port-Vila,82470,190,F,48,160
52251,Mahful,Youthful Mayer,1996-9-8,Quito,12195,52,M,56,184
52252,Laugnon,Cannon Laughing,2002-9-1,Madrid,14983,164,M,56,178
52253,Ledeen,Lederberg Keen,1998-1-22,Lisbon,73816,141,M,62,183
52254,Kelntic,Keller Romantic,2007-10-25,Ouagadougou,25842,27,F,40,165
52255,Dubiated,Dubinsky Agitated,2008-1-22,Montevideo,71541,188,M,55,184
52256,Tausionate,Compassionate Taussig,2001-4-10,Port Moresby ,43651,136,F,47,160
52257,Penmann,Neumann Pensive,2003-4-13,Skopje,1693,103,F,43,169
52258,Cuvous,Curie Nervous,2007-10-3,Port Louis,60202,112,M,56,180
52259,Bouest,Modest Bouman,1996-1-25,Lima,45794,138,F,51,159
52260,Swkyan,Elbakyan Sweet,2005-4-1,Santo Domingo,4961,50,M,64,185
52261,Friell,Friendly Bell,2000-8-6,Abu Dhabi,85136,185,M,63,175
52262,Ruring,Adoring Rubin,2000-8-9,Moroni,53940,38,M,61,184
52263,Goldnny,Funny Goldberg,2006-12-22,Vaduz,68900,100,M,55,180
52264,Chol,Chaum Cool,2004-6-8,Abuja,22283,129,F,46,159
52265,Harduth,Knuth Hardcore,2007-3-14,Riyadh,55794,152,F,43,163
52266,Tennsky,Dubinsky Tender,1999-2-13,Nairobi,60329,88,M,64,176
52267,Nortrsing,Northcutt Recursing,2006-1-12,Port Louis,52259,112,F,48,166
52268,Beaulton,Hamilton Beautiful,2005-7-18,Banjul,47995,63,M,63,174
52269,Feserjee,Festive Chatterjee,2006-10-3,Oslo,94761,130,M,61,179
52270,Slekyan,Sleepy Elbakyan,1999-12-20,Rome,71622,83,M,58,176
52271,Borulis,Margulis Boring,1998-9-2,Brussels,85296,17,M,58,181
52272,Admise,Admiring Bose,2007-7-5,Vilnius,76237,101,F,45,169
52273,Agitatia,Hypatia Agitated,2007-7-19,Sanaa,30500,194,M,62,177
52274,Murntic,Pedantic Murdock,2002-5-3,Antananarivo,44350,104,M,64,180
52275,Upbver,Beaver Upbeat,2006-4-18,Tarawa Atoll,37962,89,M,57,176
52276,Tengle,Hugle Tender,2008-4-5,Harare,83743,40,M,59,174
52277,Mclnky,Mclean Cranky,2000-2-3,Ouagadougou,45029,27,M,65,183
52278,Pasntic,Pascal Pedantic,1999-5-8,Copenhagen,45376,47,F,54,167
